"","State","State.ABBR","X2006.Prescribing.Rate"
"1","Alabama","AL",115.6
"2","Alaska","AK",63.4
"3","Arizona","AZ",74.3
"4","Arkansas","AR",98.3
"5","California","CA",51
"6","Colorado","CO",62.2
"7","Connecticut","CT",64.7
"8","Delaware","DE",86.6
"9","District of Columbia","DC",31.7
"10","Florida","FL",79.7
"11","Georgia","GA",79.8
"12","Hawaii","HI",42.3
"13","Idaho","ID",75.6
"14","Illinois","IL",55.6
"15","Indiana","IN",94.3
"16","Iowa","IA",59.3
"17","Kansas","KS",77.5
"18","Kentucky","KY",122.6
"19","Louisiana","LA",109.2
"20","Maine","ME",83.6
"21","Maryland","MD",60.1
"22","Massachusetts","MA",66
"23","Michigan","MI",80.2
"24","Minnesota","MN",50.3
"25","Mississippi","MS",102.7
"26","Missouri","MO",80.5
"27","Montana","MT",79.1
"28","Nebraska","NE",64.3
"29","Nevada","NV",87.7
"30","New Hampshire","NH",75
"31","New Jersey","NJ",54.7
"32","New Mexico","NM",61.8
"33","New York","NY",44.2
"34","North Carolina","NC",85.2
"35","North Dakota","ND",56
"36","Ohio","OH",87.7
"37","Oklahoma","OK",108.7
"38","Oregon","OR",91
"39","Pennsylvania","PA",69.5
"40","Rhode Island","RI",78.7
"41","South Carolina","SC",90.4
"42","South Dakota","SD",50
"43","Tennessee","TN",124.8
"44","Texas","TX",66.8
"45","Utah","UT",87
"46","Vermont","VT",56.9
"47","Virginia","VA",67.2
"48","Washington","WA",80.8
"49","West Virginia","WV",129.9
"50","Wisconsin","WI",64.7
"51","Wyoming","WY",79.9
