"","State","State.ABBR","X2008.Prescribing.Rate"
"1","Alabama","AL",126.1
"2","Alaska","AK",68.5
"3","Arizona","AZ",80.9
"4","Arkansas","AR",112.1
"5","California","CA",55.1
"6","Colorado","CO",67.7
"7","Connecticut","CT",68.7
"8","Delaware","DE",95.4
"9","District of Columbia","DC",34.5
"10","Florida","FL",84.3
"11","Georgia","GA",86.3
"12","Hawaii","HI",46.6
"13","Idaho","ID",82.7
"14","Illinois","IL",60.2
"15","Indiana","IN",103.3
"16","Iowa","IA",59.1
"17","Kansas","KS",82.7
"18","Kentucky","KY",136.6
"19","Louisiana","LA",113.7
"20","Maine","ME",88.7
"21","Maryland","MD",65.5
"22","Massachusetts","MA",69.2
"23","Michigan","MI",89.9
"24","Minnesota","MN",56.5
"25","Mississippi","MS",113.2
"26","Missouri","MO",86.8
"27","Montana","MT",85.3
"28","Nebraska","NE",66.2
"29","Nevada","NV",97
"30","New Hampshire","NH",81.7
"31","New Jersey","NJ",59.5
"32","New Mexico","NM",71.4
"33","New York","NY",48.4
"34","North Carolina","NC",88.6
"35","North Dakota","ND",61.7
"36","Ohio","OH",97.5
"37","Oklahoma","OK",111.3
"38","Oregon","OR",99.1
"39","Pennsylvania","PA",76.5
"40","Rhode Island","RI",82.9
"41","South Carolina","SC",94.1
"42","South Dakota","SD",52.1
"43","Tennessee","TN",132.9
"44","Texas","TX",71.3
"45","Utah","UT",91.3
"46","Vermont","VT",56.5
"47","Virginia","VA",73
"48","Washington","WA",86.6
"49","West Virginia","WV",145.5
"50","Wisconsin","WI",70.6
"51","Wyoming","WY",81
