"","State","State.ABBR","X2013.Prescribing.Rate"
"1","Alabama","AL",142.4
"2","Alaska","AK",63.7
"3","Arizona","AZ",80.4
"4","Arkansas","AR",120.9
"5","California","CA",54.4
"6","Colorado","CO",71.2
"7","Connecticut","CT",67.4
"8","Delaware","DE",92.7
"9","District of Columbia","DC",41.1
"10","Florida","FL",73.5
"11","Georgia","GA",86.6
"12","Hawaii","HI",49.4
"13","Idaho","ID",89.2
"14","Illinois","IL",63.7
"15","Indiana","IN",106.3
"16","Iowa","IA",72.2
"17","Kansas","KS",88.7
"18","Kentucky","KY",111.7
"19","Louisiana","LA",112.4
"20","Maine","ME",85.9
"21","Maryland","MD",69
"22","Massachusetts","MA",63
"23","Michigan","MI",98.9
"24","Minnesota","MN",58.3
"25","Mississippi","MS",119.6
"26","Missouri","MO",93.3
"27","Montana","MT",84.2
"28","Nebraska","NE",71.3
"29","Nevada","NV",91.1
"30","New Hampshire","NH",82
"31","New Jersey","NJ",58.3
"32","New Mexico","NM",71.4
"33","New York","NY",46.7
"34","North Carolina","NC",96.7
"35","North Dakota","ND",60.1
"36","Ohio","OH",93.1
"37","Oklahoma","OK",123.3
"38","Oregon","OR",94.2
"39","Pennsylvania","PA",81.6
"40","Rhode Island","RI",76.9
"41","South Carolina","SC",103
"42","South Dakota","SD",60.6
"43","Tennessee","TN",127.1
"44","Texas","TX",70
"45","Utah","UT",82.1
"46","Vermont","VT",52.2
"47","Virginia","VA",76.6
"48","Washington","WA",75.2
"49","West Virginia","WV",129
"50","Wisconsin","WI",73.8
"51","Wyoming","WY",81.5
