"","State","State.ABBR","X2014.Prescribing.Rate"
"1","Alabama","AL",135.2
"2","Alaska","AK",62.7
"3","Arizona","AZ",79.7
"4","Arkansas","AR",123.2
"5","California","CA",52.7
"6","Colorado","CO",69.6
"7","Connecticut","CT",66
"8","Delaware","DE",91
"9","District of Columbia","DC",40.1
"10","Florida","FL",71.4
"11","Georgia","GA",83.8
"12","Hawaii","HI",47.7
"13","Idaho","ID",87.4
"14","Illinois","IL",62.3
"15","Indiana","IN",96.7
"16","Iowa","IA",72.3
"17","Kansas","KS",86.5
"18","Kentucky","KY",110
"19","Louisiana","LA",108.9
"20","Maine","ME",82.4
"21","Maryland","MD",67.6
"22","Massachusetts","MA",59.6
"23","Michigan","MI",98
"24","Minnesota","MN",56.6
"25","Mississippi","MS",116.3
"26","Missouri","MO",90.7
"27","Montana","MT",80.1
"28","Nebraska","NE",70.1
"29","Nevada","NV",90.1
"30","New Hampshire","NH",79.6
"31","New Jersey","NJ",57.2
"32","New Mexico","NM",71.5
"33","New York","NY",43.9
"34","North Carolina","NC",93.7
"35","North Dakota","ND",58.1
"36","Ohio","OH",89.5
"37","Oklahoma","OK",110.9
"38","Oregon","OR",91.9
"39","Pennsylvania","PA",79.9
"40","Rhode Island","RI",72.8
"41","South Carolina","SC",101.3
"42","South Dakota","SD",61.7
"43","Tennessee","TN",121.3
"44","Texas","TX",67
"45","Utah","UT",78.8
"46","Vermont","VT",50.4
"47","Virginia","VA",73.5
"48","Washington","WA",74.2
"49","West Virginia","WV",126.4
"50","Wisconsin","WI",71.9
"51","Wyoming","WY",80.9
