"","State","State.ABBR","X2010.Prescribing.Rate"
"1","Alabama","AL",134.3
"2","Alaska","AK",68.4
"3","Arizona","AZ",88.5
"4","Arkansas","AR",120.8
"5","California","CA",55.8
"6","Colorado","CO",72
"7","Connecticut","CT",68.6
"8","Delaware","DE",101.1
"9","District of Columbia","DC",37.1
"10","Florida","FL",87.6
"11","Georgia","GA",90.2
"12","Hawaii","HI",50.1
"13","Idaho","ID",88.6
"14","Illinois","IL",63.1
"15","Indiana","IN",107.1
"16","Iowa","IA",62.3
"17","Kansas","KS",86.1
"18","Kentucky","KY",136.5
"19","Louisiana","LA",112.6
"20","Maine","ME",92.8
"21","Maryland","MD",71.2
"22","Massachusetts","MA",67.9
"23","Michigan","MI",96
"24","Minnesota","MN",59
"25","Mississippi","MS",118.1
"26","Missouri","MO",91
"27","Montana","MT",87.2
"28","Nebraska","NE",69
"29","Nevada","NV",97.3
"30","New Hampshire","NH",81.6
"31","New Jersey","NJ",61
"32","New Mexico","NM",81.9
"33","New York","NY",51
"34","North Carolina","NC",93.1
"35","North Dakota","ND",63
"36","Ohio","OH",102.4
"37","Oklahoma","OK",119.6
"38","Oregon","OR",101.2
"39","Pennsylvania","PA",81
"40","Rhode Island","RI",82.7
"41","South Carolina","SC",98.6
"42","South Dakota","SD",54
"43","Tennessee","TN",140
"44","Texas","TX",73
"45","Utah","UT",86.6
"46","Vermont","VT",54.1
"47","Virginia","VA",75.5
"48","Washington","WA",85
"49","West Virginia","WV",143.1
"50","Wisconsin","WI",74.4
"51","Wyoming","WY",80.4
