"","State","State.ABBR","X2016.Prescribing.Rate"
"1","Alabama","AL",121
"2","Alaska","AK",58.9
"3","Arizona","AZ",70.2
"4","Arkansas","AR",114.6
"5","California","CA",44.8
"6","Colorado","CO",59.8
"7","Connecticut","CT",55.9
"8","Delaware","DE",79.2
"9","District of Columbia","DC",32.5
"10","Florida","FL",66.6
"11","Georgia","GA",77.8
"12","Hawaii","HI",41.9
"13","Idaho","ID",77.6
"14","Illinois","IL",56.8
"15","Indiana","IN",83.9
"16","Iowa","IA",64
"17","Kansas","KS",76.9
"18","Kentucky","KY",97.2
"19","Louisiana","LA",98.1
"20","Maine","ME",66.9
"21","Maryland","MD",58.7
"22","Massachusetts","MA",47.1
"23","Michigan","MI",84.9
"24","Minnesota","MN",46.9
"25","Mississippi","MS",105.6
"26","Missouri","MO",80.4
"27","Montana","MT",69.8
"28","Nebraska","NE",62.8
"29","Nevada","NV",80.7
"30","New Hampshire","NH",64.3
"31","New Jersey","NJ",52.6
"32","New Mexico","NM",65.1
"33","New York","NY",42.7
"34","North Carolina","NC",82.5
"35","North Dakota","ND",47.8
"36","Ohio","OH",75.3
"37","Oklahoma","OK",97.9
"38","Oregon","OR",76.3
"39","Pennsylvania","PA",69.5
"40","Rhode Island","RI",60.3
"41","South Carolina","SC",89.4
"42","South Dakota","SD",54.8
"43","Tennessee","TN",107.5
"44","Texas","TX",57.6
"45","Utah","UT",70.4
"46","Vermont","VT",58.6
"47","Virginia","VA",63.4
"48","Washington","WA",64.9
"49","West Virginia","WV",96
"50","Wisconsin","WI",62.2
"51","Wyoming","WY",71.1
