"","State","State.ABBR","X2012.Prescribing.Rate"
"1","Alabama","AL",143.8
"2","Alaska","AK",66.8
"3","Arizona","AZ",85.3
"4","Arkansas","AR",121.8
"5","California","CA",56.4
"6","Colorado","CO",73.5
"7","Connecticut","CT",69.3
"8","Delaware","DE",94
"9","District of Columbia","DC",40.3
"10","Florida","FL",75.9
"11","Georgia","GA",89.4
"12","Hawaii","HI",50.4
"13","Idaho","ID",92
"14","Illinois","IL",66.1
"15","Indiana","IN",110.5
"16","Iowa","IA",74.1
"17","Kansas","KS",90.3
"18","Kentucky","KY",127.9
"19","Louisiana","LA",113
"20","Maine","ME",89.7
"21","Maryland","MD",72.2
"22","Massachusetts","MA",65.7
"23","Michigan","MI",100.7
"24","Minnesota","MN",60.9
"25","Mississippi","MS",121.8
"26","Missouri","MO",95.4
"27","Montana","MT",87.7
"28","Nebraska","NE",73.2
"29","Nevada","NV",98.9
"30","New Hampshire","NH",83.7
"31","New Jersey","NJ",60.1
"32","New Mexico","NM",76.8
"33","New York","NY",51.8
"34","North Carolina","NC",98.6
"35","North Dakota","ND",62.1
"36","Ohio","OH",97.5
"37","Oklahoma","OK",127.4
"38","Oregon","OR",98.7
"39","Pennsylvania","PA",83.3
"40","Rhode Island","RI",83.2
"41","South Carolina","SC",104
"42","South Dakota","SD",60.1
"43","Tennessee","TN",136.1
"44","Texas","TX",73.4
"45","Utah","UT",84.5
"46","Vermont","VT",54.6
"47","Virginia","VA",79.6
"48","Washington","WA",78.7
"49","West Virginia","WV",136.9
"50","Wisconsin","WI",76.8
"51","Wyoming","WY",80.5
