"","State","State.ABBR","X2009.Prescribing.Rate"
"1","Alabama","AL",131.6
"2","Alaska","AK",67.3
"3","Arizona","AZ",84.2
"4","Arkansas","AR",116
"5","California","CA",55.6
"6","Colorado","CO",69.8
"7","Connecticut","CT",68.1
"8","Delaware","DE",97.5
"9","District of Columbia","DC",34.4
"10","Florida","FL",86.3
"11","Georgia","GA",88.2
"12","Hawaii","HI",47.8
"13","Idaho","ID",85.2
"14","Illinois","IL",61
"15","Indiana","IN",105.6
"16","Iowa","IA",60.4
"17","Kansas","KS",82.8
"18","Kentucky","KY",135.2
"19","Louisiana","LA",113
"20","Maine","ME",87.9
"21","Maryland","MD",66.9
"22","Massachusetts","MA",68.9
"23","Michigan","MI",91.6
"24","Minnesota","MN",58.6
"25","Mississippi","MS",117.3
"26","Missouri","MO",88.5
"27","Montana","MT",85.8
"28","Nebraska","NE",66.4
"29","Nevada","NV",94
"30","New Hampshire","NH",81.5
"31","New Jersey","NJ",59.9
"32","New Mexico","NM",75.3
"33","New York","NY",49.5
"34","North Carolina","NC",89.3
"35","North Dakota","ND",60.3
"36","Ohio","OH",100.4
"37","Oklahoma","OK",115
"38","Oregon","OR",99.3
"39","Pennsylvania","PA",78.1
"40","Rhode Island","RI",82.5
"41","South Carolina","SC",95.8
"42","South Dakota","SD",52.3
"43","Tennessee","TN",138.4
"44","Texas","TX",71.8
"45","Utah","UT",86.9
"46","Vermont","VT",54.5
"47","Virginia","VA",74.1
"48","Washington","WA",86.1
"49","West Virginia","WV",146.9
"50","Wisconsin","WI",71.9
"51","Wyoming","WY",81
