"","State","State.ABBR","X2015.Prescribing.Rate"
"1","Alabama","AL",125
"2","Alaska","AK",60.8
"3","Arizona","AZ",75.5
"4","Arkansas","AR",117.2
"5","California","CA",47.7
"6","Colorado","CO",65.1
"7","Connecticut","CT",62.3
"8","Delaware","DE",84.4
"9","District of Columbia","DC",35.7
"10","Florida","FL",67.1
"11","Georgia","GA",79.4
"12","Hawaii","HI",44.3
"13","Idaho","ID",81.9
"14","Illinois","IL",59.1
"15","Indiana","IN",89.1
"16","Iowa","IA",68.6
"17","Kansas","KS",80.5
"18","Kentucky","KY",102.6
"19","Louisiana","LA",100.4
"20","Maine","ME",76.5
"21","Maryland","MD",63
"22","Massachusetts","MA",54
"23","Michigan","MI",90.5
"24","Minnesota","MN",52.1
"25","Mississippi","MS",110.9
"26","Missouri","MO",84.5
"27","Montana","MT",73.3
"28","Nebraska","NE",65.5
"29","Nevada","NV",85.4
"30","New Hampshire","NH",74.8
"31","New Jersey","NJ",56
"32","New Mexico","NM",69.8
"33","New York","NY",45.1
"34","North Carolina","NC",88.4
"35","North Dakota","ND",53
"36","Ohio","OH",82.7
"37","Oklahoma","OK",104.4
"38","Oregon","OR",84.2
"39","Pennsylvania","PA",75.5
"40","Rhode Island","RI",65.7
"41","South Carolina","SC",95.1
"42","South Dakota","SD",59.1
"43","Tennessee","TN",114.9
"44","Texas","TX",59.8
"45","Utah","UT",74.4
"46","Vermont","VT",60.1
"47","Virginia","VA",68.1
"48","Washington","WA",69.8
"49","West Virginia","WV",111.3
"50","Wisconsin","WI",67.5
"51","Wyoming","WY",75.4
